row_id,canonical_amine_object,chemistry_object,Amine_1,Solvent,abs_residual__DS-unknown,abs_residual__strict_amine_object_holdout,error_type__DS-unknown,error_type__strict_amine_object_holdout,oof_proba__DS-unknown,oof_proba__strict_amine_object_holdout,signed_residual__DS-unknown,signed_residual__strict_amine_object_holdout,y__DS-unknown,y__strict_amine_object_holdout,bias_alignment
105,MEA,MEA__sulfolane,MEA,sulfolane,0.6042625689719182,0.6418695288842851,FN,FN,0.3957374310280818,0.358130471115715,0.6042625689719182,0.6418695288842851,1.0,1.0,consistent_strong_underprediction
106,MEA,MEA__sulfolane,MEA,sulfolane,0.5499585629312681,0.5069368795960324,FN,FN,0.4500414370687319,0.4930631204039676,0.5499585629312681,0.5069368795960324,1.0,1.0,consistent_strong_underprediction
107,MEA,MEA__sulfolane,MEA,sulfolane,0.612446941275733,0.4786980677335342,FN,TP,0.3875530587242671,0.5213019322664658,0.612446941275733,0.4786980677335342,1.0,1.0,consistent_strong_underprediction
108,DGA|TMEDA,DGA|TMEDA__NO_SOLVENT,DGA,(none),0.032038741223064826,,TP,,0.9679612587769352,,0.032038741223064826,,1.0,,mixed_or_weak
109,DGA|PMDETA,DGA|PMDETA__NO_SOLVENT,DGA,(none),0.08328110015891921,,TP,,0.9167188998410808,,0.08328110015891921,,1.0,,mixed_or_weak
110,DMAC|TETA,DMAC|TETA__NO_SOLVENT,TETA,(none),0.2445398982967636,,TP,,0.7554601017032364,,0.2445398982967636,,1.0,,mixed_or_weak
111,DETA|DMAC,DETA|DMAC__NO_SOLVENT,DETA,(none),0.7055558845507088,,FN,,0.2944441154492912,,0.7055558845507088,,1.0,,mixed_or_weak
112,AEEA|DEEA,AEEA|DEEA__NO_SOLVENT,AEEA,(none),0.06111608262991797,,TP,,0.938883917370082,,0.06111608262991797,,1.0,,mixed_or_weak
113,1-amino-2-propanol|TMEDA,1-amino-2-propanol|TMEDA__NO_SOLVENT,1-amino-2-propanol,(none),0.05188147478776517,,TP,,0.9481185252122348,,0.05188147478776517,,1.0,,mixed_or_weak
114,1-amino-2-propanol|PMDETA,1-amino-2-propanol|PMDETA__NO_SOLVENT,1-amino-2-propanol,(none),0.14284037055191567,,TP,,0.8571596294480843,,0.14284037055191567,,1.0,,mixed_or_weak
115,1-amino-2-propanol|DMAE,1-amino-2-propanol|DMAE__NO_SOLVENT,1-amino-2-propanol,(none),0.048843296775555545,,TP,,0.9511567032244445,,0.048843296775555545,,1.0,,mixed_or_weak
116,1-amino-2-propanol|DEEA,1-amino-2-propanol|DEEA__NO_SOLVENT,1-amino-2-propanol,(none),0.034825717372821585,,TP,,0.9651742826271784,,0.034825717372821585,,1.0,,mixed_or_weak
117,1-amino-2-propanol|DMAC,1-amino-2-propanol|DMAC__NO_SOLVENT,1-amino-2-propanol,(none),0.01733433503972115,,TP,,0.9826656649602789,,0.01733433503972115,,1.0,,mixed_or_weak
118,1-amino-2-propanol|NMP,1-amino-2-propanol|NMP__NO_SOLVENT,1-amino-2-propanol,(none),0.06086619071339283,,TP,,0.9391338092866072,,0.06086619071339283,,1.0,,mixed_or_weak
119,1-amino-2-propanol,1-amino-2-propanol__ethanol,1-amino-2-propanol,ethanol,0.6022596109070504,0.5796155036181798,FN,FN,0.3977403890929497,0.4203844963818201,0.6022596109070504,0.5796155036181798,1.0,1.0,consistent_strong_underprediction
120,1-amino-2-propanol,1-amino-2-propanol__n-butanol,1-amino-2-propanol,n-butanol,0.17017661773539206,0.1037807614611147,TP,TP,0.829823382264608,0.8962192385388853,0.17017661773539206,0.1037807614611147,1.0,1.0,consistent_underprediction
121,1-amino-2-propanol,1-amino-2-propanol__n-pentylalcohol,1-amino-2-propanol,n-pentylalcohol,0.09582715315075918,0.04824217036530998,TP,TP,0.9041728468492408,0.95175782963469,0.09582715315075918,0.04824217036530998,1.0,1.0,consistent_underprediction
122,1-amino-2-propanol,1-amino-2-propanol__isopropanol,1-amino-2-propanol,isopropanol,0.33372936975501044,0.2602967966328307,TP,TP,0.6662706302449896,0.7397032033671693,0.33372936975501044,0.2602967966328307,1.0,1.0,consistent_strong_underprediction
123,1-amino-2-propanol|TMEDA,1-amino-2-propanol|TMEDA__DMSO,1-amino-2-propanol,DMSO,0.022145101118434152,,TP,,0.9778548988815658,,0.022145101118434152,,1.0,,mixed_or_weak
124,1-amino-2-propanol|DEEA,1-amino-2-propanol|DEEA__DMSO,1-amino-2-propanol,DMSO,0.01023958429675298,,TP,,0.989760415703247,,0.01023958429675298,,1.0,,mixed_or_weak
125,MAE,MAE__ethanol,MAE,ethanol,0.2382794892292051,0.6486965027624979,TN,FP,0.2382794892292051,0.6486965027624979,-0.2382794892292051,-0.6486965027624979,0.0,0.0,consistent_overprediction
126,MAE,MAE__ethanol,MAE,ethanol,0.5694419084312333,0.8658809087174925,FP,FP,0.5694419084312333,0.8658809087174925,-0.5694419084312333,-0.8658809087174925,0.0,0.0,consistent_strong_overprediction
