protocol,group_family,group_name,n,pos_n,neg_n,pos_rate,pred_pos_rate,proba_mean,signed_residual_mean,abs_residual_mean,brier_mean,error_rate,fn_rate_all,fp_rate_all,fn_given_pos,fp_given_neg,auc
DS-known,chemistry_object,MEA__Tertiarybutanol,6,5,1,0.8333333333333334,0.6666666666666666,0.6610567215982585,0.1722766117350749,0.2395869446217167,0.07931017530734547,0.16666666666666666,0.16666666666666666,0.0,0.2,0.0,1.0
DS-known,chemistry_object,TEPA__DGME,11,10,1,0.9090909090909091,0.9090909090909091,0.8276749470955493,0.08141596199535975,0.23450190070827184,0.1177256851975812,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.1,1.0,0.8
DS-known,chemistry_object,DMCA|TETA__NO_SOLVENT,5,5,0,1.0,1.0,0.7727810375476276,0.22721896245237244,0.22721896245237244,0.06526974549567177,0.0,0.0,0.0,0.0,,
DS-known,chemistry_object,DEEA|TETA__NO_SOLVENT,6,6,0,1.0,1.0,0.7729276894207122,0.22707231057928787,0.22707231057928787,0.060871609235220135,0.0,0.0,0.0,0.0,,
DS-known,chemistry_object,EAE__DEGDEE,18,18,0,1.0,0.8888888888888888,0.775702820066594,0.22429717993340603,0.22429717993340603,0.0768808445854391,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,,
DS-known,chemistry_object,MEA__n-propanol,25,21,4,0.84,0.8,0.6902029275519986,0.1497970724480015,0.2199298920906662,0.06606010315058668,0.04,0.04,0.0,0.047619047619047616,0.0,0.9880952380952381
DS-known,chemistry_object,MEA__isobutanol,5,5,0,1.0,0.8,0.7853694535398423,0.21463054646015758,0.21463054646015758,0.08917394088282485,0.2,0.2,0.0,0.2,,
DS-known,chemistry_object,MEA__isopropanol,24,19,5,0.7916666666666666,0.7916666666666666,0.7022781340533514,0.08938853261331521,0.18196127276266783,0.04425582114583231,0.0,0.0,0.0,0.0,0.0,1.0
DS-known,chemistry_object,DETA__n-pentylalcohol,9,9,0,1.0,0.8888888888888888,0.8735518850127542,0.12644811498724579,0.12644811498724579,0.052601641598928,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,,
DS-known,chemistry_object,TETA__DMCA,5,5,0,1.0,1.0,0.9062489732146315,0.09375102678536847,0.09375102678536847,0.010962584859573469,0.0,0.0,0.0,0.0,,
DS-known,chemistry_object,DETA|PMDETA__sulfolane,5,5,0,1.0,1.0,0.9397975278793371,0.06020247212066292,0.06020247212066292,0.004297889295033536,0.0,0.0,0.0,0.0,,
DS-known,chemistry_object,AEEA|PMDETA__DMSO,10,10,0,1.0,1.0,0.9661103142985088,0.03388968570149124,0.03388968570149124,0.0028697493124835867,0.0,0.0,0.0,0.0,,
DS-known,Amine_1,DEEA,14,0,14,0.0,0.9285714285714286,0.5679848569757233,-0.5679848569757233,0.5679848569757233,0.32610105470394296,0.9285714285714286,0.0,0.9285714285714286,,0.9285714285714286,
DS-known,Amine_1,2MPRZ,6,6,0,1.0,0.16666666666666666,0.498129141607582,0.501870858392418,0.501870858392418,0.26578527781907285,0.8333333333333334,0.8333333333333334,0.0,0.8333333333333334,,
DS-known,Amine_1,AEP,28,25,3,0.8928571428571429,0.5357142857142857,0.48809300567679426,0.4047641371803486,0.4895687188859908,0.2965303476494234,0.42857142857142855,0.39285714285714285,0.03571428571428571,0.44,0.3333333333333333,0.68
DS-known,Amine_1,MAE,72,28,44,0.3888888888888889,0.6805555555555556,0.6004408937950173,-0.2115520049061284,0.43894711412530985,0.2529833160238615,0.4027777777777778,0.05555555555555555,0.3472222222222222,0.14285714285714285,0.5681818181818182,0.7256493506493507
DS-known,Amine_1,BZMEA,5,0,5,0.0,0.0,0.32538855884800943,-0.32538855884800943,0.32538855884800943,0.11085281360980792,0.0,0.0,0.0,,0.0,
DS-known,Amine_1,DETA,50,42,8,0.84,0.8,0.6862064002757603,0.15379359972423964,0.30738867526727465,0.14424537688975922,0.2,0.12,0.08,0.14285714285714285,0.5,0.7470238095238095
DS-known,Amine_1,BAE,6,0,6,0.0,0.16666666666666666,0.2859923578282029,-0.2859923578282029,0.2859923578282029,0.10340748729290188,0.16666666666666666,0.0,0.16666666666666666,,0.16666666666666666,
DS-known,Amine_1,MAPA,14,11,3,0.7857142857142857,0.9285714285714286,0.9304604848338976,-0.14474619911961187,0.28323542526452017,0.2504178475791893,0.2857142857142857,0.07142857142857142,0.21428571428571427,0.09090909090909091,1.0,0.7272727272727273
DS-known,Amine_1,MEA,125,95,30,0.76,0.728,0.6783303662127302,0.08166963378726969,0.26846278753577507,0.11712134519581151,0.16,0.096,0.064,0.12631578947368421,0.26666666666666666,0.8708771929824561
DS-known,Amine_1,TEPA,22,18,4,0.8181818181818182,0.9090909090909091,0.8000839883158126,0.018097829866005614,0.26456645973798576,0.14038187306292846,0.18181818181818182,0.045454545454545456,0.13636363636363635,0.05555555555555555,0.75,0.75
DS-known,Amine_1,TETA,49,21,28,0.42857142857142855,0.42857142857142855,0.4858704272301021,-0.0572989986586736,0.25352308836526055,0.07572332767367879,0.04081632653061224,0.02040816326530612,0.02040816326530612,0.047619047619047616,0.03571428571428571,0.9965986394557823
DS-known,Amine_1,EAE,23,19,4,0.8260869565217391,0.7391304347826086,0.6679130508530263,0.15817390566871287,0.20801842288079286,0.06527370056912452,0.08695652173913043,0.08695652173913043,0.0,0.10526315789473684,0.0,1.0
DS-known,Amine_1,IPMEA,5,0,5,0.0,0.0,0.2002773756461898,-0.2002773756461898,0.2002773756461898,0.04095588212141303,0.0,0.0,0.0,,0.0,
DS-known,Amine_1,DAP,11,11,0,1.0,1.0,0.8198738084970846,0.18012619150291542,0.18012619150291542,0.04695811691015583,0.0,0.0,0.0,0.0,,
DS-known,Amine_1,1-amino-2-propanol,16,13,3,0.8125,0.8125,0.758092785474648,0.054407214525351945,0.1655083590857081,0.04432596063725225,0.0,0.0,0.0,0.0,0.0,1.0
DS-known,Amine_1,DEA,12,12,0,1.0,1.0,0.9332376295421047,0.06676237045789561,0.06676237045789561,0.005810320091247601,0.0,0.0,0.0,0.0,,
DS-known,Amine_1,AEEA,12,11,1,0.9166666666666666,0.9166666666666666,0.8928051257305044,0.023861540936162207,0.04165382817603833,0.003585915615390935,0.0,0.0,0.0,0.0,0.0,1.0
